Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (mg)","Kwas omega 6 (mg)","Węglowodany (g)","Cukry (g)","Cholesterol (g)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2023-01-09,Śniadanie,"Serek wiejski naturalny","1x opakowanie",200,194,22,0,22,10,7,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,560,,,1.4
2023-01-09,Śniadanie,"Baby plum tomatoes","180x g",180,25.2,0.9,,,0.18,0.18,,,,,5.4,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018
2023-01-09,Śniadanie,"Chleb żytni razowy","85x g",85,194.65,5.355,5.355,0,1.445,0.255,0.3315,0.85,0.068,0.782,43.52,1.36,0,7.14,,24.225,,0.119,0.085,,0.1445,,0,0,0,0.731,0.731,,2.159,173.4,2.295,54.4,0.204,237.15,15.3,388.62,21.25,1.955,0.969
2023-01-09,Śniadanie,"Ser Piórko","90x g",90,147.6,31.5,,,2.43,1.62,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,720,,,1.8
2023-01-09,Śniadanie,"Wędzok ustrzycki masarnia u Jozefa","64x g",64,83.84,12.8,,,3.2,,,,,,0.896,0.512,,,,,,,,,,,,,,,,,,,,,,,,563.2,,,1.408
2023-01-09,Śniadanie,"Mleko spożywcze 2% tłuszczu","250x g",250,127.5,8.5,0,8.5,5,3,1.5,0.25,,,12.25,,20,0,,12.5,62.5,0,0.5,,0.25,,1,2.5,0,0.25,0.25,,0.75,215,,30,0,352.5,,112.5,300,0.25,
2023-01-09,Lunch,"Naleśniki z serem ","2.5x porcja",449,672.5,40.56,7.77,1.87,14.45,4.63,0.44,0.58,0.02,0.5,111.04,4.77,4.4,1.61,,40.55,13.75,0.08,0.15,,0.07,,0.22,0.55,0,0.34,0.71,0.21,0.56,94.2,1.33,13.6,0.06,154.55,,26.15,78.6,0.83,0.13
2023-01-09,Obiad,"High protein pudding chocolate","1x opakowanie",200,162,20,,,3.2,2,,,,,12.8,9.6,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-09,Przekąska,"Smażony ryż z krewetkami","1x porcja",444.5,822.03,51.84,8.9,12.49,34.33,7.29,1.88,2.17,,,84.99,0.5,145.5,2.4,,,,0.14,,,,,,,,,2.11,,0.98,160.5,,26.25,,198,,768.25,48,0.38,0.01
2023-01-10,Śniadanie,"Serek wiejski naturalny","1x opakowanie",200,194,22,0,22,10,7,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,560,,,1.4
2023-01-10,Śniadanie,"Baby plum tomatoes","180x g",180,25.2,0.9,,,0.18,0.18,,,,,5.4,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018
2023-01-10,Śniadanie,"Chleb żytni razowy","85x g",85,194.65,5.355,5.355,0,1.445,0.255,0.3315,0.85,0.068,0.782,43.52,1.36,0,7.14,,24.225,,0.119,0.085,,0.1445,,0,0,0,0.731,0.731,,2.159,173.4,2.295,54.4,0.204,237.15,15.3,388.62,21.25,1.955,0.969
2023-01-10,Śniadanie,"Ser Piórko","90x g",90,147.6,31.5,,,2.43,1.62,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,720,,,1.8
2023-01-10,Śniadanie,"Wędzok ustrzycki masarnia u Jozefa","64x g",64,83.84,12.8,,,3.2,,,,,,0.896,0.512,,,,,,,,,,,,,,,,,,,,,,,,563.2,,,1.408
2023-01-10,Śniadanie,"Mleko spożywcze 2% tłuszczu","250x g",250,127.5,8.5,0,8.5,5,3,1.5,0.25,,,12.25,,20,0,,12.5,62.5,0,0.5,,0.25,,1,2.5,0,0.25,0.25,,0.75,215,,30,0,352.5,,112.5,300,0.25,
2023-01-10,Lunch,"Naleśniki z serem ","2.5x porcja",449,672.5,40.56,7.77,1.87,14.45,4.63,0.44,0.58,0.02,0.5,111.04,4.77,4.4,1.61,,40.55,13.75,0.08,0.15,,0.07,,0.22,0.55,0,0.34,0.71,0.21,0.56,94.2,1.33,13.6,0.06,154.55,,26.15,78.6,0.83,0.13
2023-01-10,Lunch,"Skyr raspberry","250x g",250,142.5,22.25,,,0.5,0.25,,,,,11.5,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2023-01-10,Obiad,"Choc Peanut Butter High Protein Low Sugar Bar","1x opakowanie",32,119.36,9.92,,,5.12,3.52,,,0,0,11.52,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1824
2023-01-10,Przekąska,"Karkówka z ziemniakami i marchewką ","1x porcja",563.33,687.65,50.38,5.39,0,29.16,11.28,0,0.24,0.04,0.2,58.85,5.8,,7.98,,61.03,1272.03,0.28,0.14,,0.92,,,29.37,0,0.51,3.75,10.12,1.11,172.97,9.6,68.23,0.42,1410.97,,82.33,37.33,1.84,0.69
2023-01-10,Przekąska,"Kapusta kwaszona","150x g",150,28.5,0.9,,,0,0,,,,,4.65,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41
2023-01-11,Śniadanie,"Serek wiejski naturalny","1x opakowanie",200,194,22,0,22,10,7,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,560,,,1.4
2023-01-11,Śniadanie,"Chleb żytni razowy","85x g",85,194.65,5.355,5.355,0,1.445,0.255,0.3315,0.85,0.068,0.782,43.52,1.36,0,7.14,,24.225,,0.119,0.085,,0.1445,,0,0,0,0.731,0.731,,2.159,173.4,2.295,54.4,0.204,237.15,15.3,388.62,21.25,1.955,0.969
2023-01-11,Śniadanie,"Ser Piórko","90x g",90,147.6,31.5,,,2.43,1.62,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,720,,,1.8
2023-01-11,Śniadanie,"Wędzok ustrzycki masarnia u Jozefa","64x g",64,83.84,12.8,,,3.2,,,,,,0.896,0.512,,,,,,,,,,,,,,,,,,,,,,,,563.2,,,1.408
2023-01-11,Śniadanie,"Mleko spożywcze 2% tłuszczu","250x g",250,127.5,8.5,0,8.5,5,3,1.5,0.25,,,12.25,,20,0,,12.5,62.5,0,0.5,,0.25,,1,2.5,0,0.25,0.25,,0.75,215,,30,0,352.5,,112.5,300,0.25,
2023-01-11,Śniadanie,"Papryka czerwona","125x g",125,40,1.625,1.625,,0.625,0.125,0.025,0.35,0.125,0.225,8.25,5.75,,2.5,,65,660,0.05,0.15,,0.5625,,,180,,3.625,2,6.125,0.325,38.75,1.25,13.75,0.1,318.75,,4,16.25,0.75,0.0125
